dataInizio,dataFine,nome,tipologia,previsione,note
2026-01-07,2026-01-07,"Viaggio della Fiamma Olimpica - Tappa di Ferrara",culturale_musicale,alto,"Evento olimpico, forte richiamo mediatico nazionale"
2026-01-10,2026-01-11,"International Cat Show Ferrara",congressuale_fieristico,medio,"Espositori e visitatori da fuori provincia (Fiera)"
2026-02-07,2026-02-08,"Love Expo Ferrara",congressuale_fieristico,medio,"Fiera, richiamo regionale"
2026-02-13,2026-02-15,"Carnevale degli Este",culturale_musicale,medio,"Rievocazione storica in centro"
2026-02-21,2026-02-22,"Carnevale Estense",culturale_musicale,alto,"Carnevale storico cittadino diffuso"
2026-02-28,2026-03-01,"Expo Bike Ferrara",congressuale_fieristico,medio,"Fiera di settore"
2026-03-07,2026-03-08,"Ferrara Nerd",congressuale_fieristico,medio,"Fiera, pubblico appassionato regionale"
2026-03-15,2026-03-15,"Esposizione Internazionale Canina",congressuale_fieristico,medio,"Espositori da fuori provincia (Fiera)"
2026-03-15,2026-03-15,"Granfondo del Po",sportivo,medio,"Cicloturismo, partecipanti da fuori"
2026-03-18,2026-03-22,"Irlanda in Festa",culturale_musicale,medio,"Festival tematico multi-giorno"
2026-03-20,2026-03-22,"Valli e Nebbie - Motorismo Storico",sportivo,medio,"Raduno auto storiche, Delta del Po"
2026-04-10,2026-04-12,"International Street Food",culturale_musicale,medio,"Richiamo regionale, multi-giorno"
2026-04-17,2026-04-17,"Modena e la Motor Valley",sportivo,medio,"Raduno motoristico"
2026-04-17,2026-04-19,"Calici di Primavera",culturale_musicale,medio,"Evento enologico, richiamo regionale"
2026-04-23,2026-04-26,"Fiera di San Giorgio",culturale_musicale,medio,"Fiera tradizionale cittadina"
2026-05-01,2026-05-01,"Ferrara Inline - Trofeo Internazionale di Pattinaggio",sportivo,medio,"Atleti internazionali"
2026-05-02,2026-05-03,"Festival Corriere della Sera",culturale_musicale,alto,"Festival mediatico nazionale"
2026-05-03,2026-05-03,"Ferrara Day - The Legend of American Cars",sportivo,medio,"Raduno auto americane"
2026-05-09,2026-05-09,"Benedizione dei Palii",culturale_musicale,medio,"Ciclo del Palio"
2026-05-10,2026-05-10,"Stra Ferrara",sportivo,medio,"Corsa, partecipanti da fuori"
2026-05-12,2026-05-14,"Salone Internazionale del Restauro",congressuale_fieristico,alto,"Fiera internazionale di settore"
2026-05-15,2026-05-17,"Streeat Food Truck Festival",culturale_musicale,medio,"Richiamo regionale"
2026-05-16,2026-05-17,"Ferrara Equestrian Days",sportivo,medio,"Trofeo, partecipanti da fuori"
2026-05-21,2026-05-23,"Music Emergency",culturale_musicale,medio,"Festival musicale"
2026-05-22,2026-06-02,"ROCKaFE",culturale_musicale,medio,"Festival musicale prolungato"
2026-05-23,2026-05-23,"Magnifico Corteo e Presentazione dei Campioni (Palio)",culturale_musicale,alto,"Palio di Ferrara"
2026-05-28,2026-05-30,"Festival della Fantasia - FeFant",culturale_musicale,medio,"Festival tematico"
2026-05-29,2026-06-02,"Calici d'Estate",culturale_musicale,medio,"Evento enologico in Darsena"
2026-05-30,2026-05-30,"Corteo Storico del Palio",culturale_musicale,alto,"Palio di Ferrara, evento identitario"
2026-05-30,2026-05-30,"Palio di Ferrara - Corse (Putti, Putte, Asini, Cavalli)",culturale_musicale,alto,"Corsa del Palio in Piazza Ariostea"
2026-06-05,2026-06-06,"Vasco Rossi",culturale_musicale,alto,"Concerto sold-out, satura la ricettivita"
2026-06-10,2026-06-13,"1000 Miglia Ferrara",sportivo,alto,"Evento iconico nazionale"
2026-06-11,2026-06-14,"Sottomura Festival",culturale_musicale,medio,"Festival musicale"
2026-06-12,2026-06-14,"Campionato Italiano Volovelistico",sportivo,medio,"Campionato nazionale"
2026-06-12,2026-06-14,"Piano Estense",culturale_musicale,medio,"Rassegna nei palazzi storici"
2026-06-13,2026-07-26,"Ferrara Summer Festival",culturale_musicale,alto,"Concerti di richiamo, lungo periodo"
2026-06-15,2026-06-21,"Festival delle Manifestazioni",culturale_musicale,medio,"Rassegna cittadina"
2026-06-15,2026-06-22,"Wonder Gulp Festival",culturale_musicale,medio,"Festival fumetto/famiglie"
2026-06-17,2026-06-18,"La Notte Gialla",culturale_musicale,medio,"Notte evento cittadina"
2026-06-19,2026-06-21,"Notte Rosa",culturale_musicale,alto,"Evento estivo di richiamo regionale/nazionale"
2026-06-27,2026-06-27,"Ferrara Stregata - La Notte delle Streghe",culturale_musicale,medio,"Notte evento tematica"
2026-06-30,2026-07-05,"Rio Latino",culturale_musicale,medio,"Festival musica/cultura latina"
2026-07-01,2026-07-05,"Finali Nazionali di Football Americano",sportivo,medio,"Squadre e tifosi da fuori"
2026-07-02,2026-07-06,"Campionato Nazionale di Pole Dance",sportivo,medio,"Campionato nazionale"
2026-07-04,2026-07-04,"TEDxFerrara",culturale_musicale,medio,"Richiamo regionale/nazionale"
2026-07-19,2026-07-19,"Vespa Raduno Nazionale Citta di Ferrara",sportivo,medio,"Raduno nazionale, partecipanti pernottano"
2026-07-20,2026-07-27,"Ferrara Sotto le Stelle - 30esima edizione",culturale_musicale,alto,"Festival musicale di punta"
2026-07-23,2026-07-26,"Il Solito Festival",culturale_musicale,medio,"Festival musicale"
2026-07-23,2026-08-04,"Night & Blues - Chiostro Live",culturale_musicale,medio,"Rassegna musicale prolungata"
2026-08-18,2026-08-24,"Plaza del Tango",culturale_musicale,medio,"Festival tango, ballerini da fuori"
2026-08-26,2026-08-30,"Ferrara Buskers Festival",culturale_musicale,alto,"Evento internazionale di punta"
2026-08-26,2026-08-30,"Dopofestival del Buskers",culturale_musicale,medio,"Collegato al Buskers"
2026-08-27,2026-08-30,"Ferrara British Beer Festival",culturale_musicale,medio,"Festival tematico"
2026-08-31,2026-09-06,"Festeba",culturale_musicale,medio,"Festival di teatro"
2026-09-03,2026-09-06,"Ariostea in Fiera",congressuale_fieristico,medio,"Grande fiera cittadina"
2026-09-04,2026-09-06,"Sanremo Rock",culturale_musicale,medio,"Rassegna musicale"
2026-09-05,2026-09-05,"Guinness - La Tavolata piu Lunga del Mondo",culturale_musicale,medio,"Evento mediatico/record"
2026-09-11,2026-09-13,"Ferrara Summer Festival (settembre)",culturale_musicale,alto,"Concerti di richiamo"
2026-09-13,2026-09-13,"Raduno Nazionale Registro Italiano Volvo",sportivo,medio,"Raduno nazionale"
2026-09-16,2026-09-18,"Remtech Expo",congressuale_fieristico,alto,"Fiera internazionale ambiente"
2026-09-18,2026-09-20,"Mercato Europeo",culturale_musicale,medio,"Grande mercato europeo, richiamo regionale"
2026-09-18,2026-09-27,"Ferrara in Fiaba",culturale_musicale,medio,"Festival famiglie (due weekend)"
2026-09-20,2026-09-20,"Passaggio G.P. Nuvolari",sportivo,medio,"Passaggio auto storiche, mediatico"
2026-09-23,2026-09-27,"Ferrara Film Festival",culturale_musicale,medio,"Festival cinematografico internazionale"
2026-09-25,2026-09-27,"Ferrara Sport Festival",sportivo,medio,"Grande evento sportivo cittadino"
2026-10-01,2026-10-18,"Oktoberfest Ferrara",congressuale_fieristico,medio,"Festival birra prolungato (Fiere)"
2026-10-02,2026-10-04,"Internazionale a Ferrara",culturale_musicale,alto,"Tra i maggiori richiami turistici della citta"
2026-10-03,2026-10-03,"Giro dell'Emilia",sportivo,medio,"Gara ciclistica professionistica"
2026-10-06,2026-10-12,"La Citta Magica",culturale_musicale,medio,"Evento tematico"
2026-10-09,2026-10-11,"Ferrara Gospel Friends",culturale_musicale,medio,"Festival musicale"
2026-10-16,2026-10-18,"Tatoo Convention",congressuale_fieristico,medio,"Convention nazionale (Fiera)"
2026-10-16,2026-10-18,"Artigelato a Ferrara",culturale_musicale,medio,"Evento gastronomico tematico"
2026-10-16,2026-10-18,"Ferrara Monumenti Aperti",culturale_musicale,medio,"Apertura beni culturali"
2026-10-17,2026-10-18,"L'Ariostea - Raduno Auto Storiche",sportivo,medio,"Raduno motoristico"
2026-10-21,2026-10-24,"Ferrara Film Corto Festival",culturale_musicale,medio,"Festival cinematografico"
2026-10-23,2026-10-25,"Festival del Ciclista Lento",sportivo,medio,"Cicloturismo lento, pernottamenti"
2026-10-24,2026-10-25,"Autunno Ducale nelle Terre Estensi",culturale_musicale,alto,"Grande rievocazione storica"
2026-10-30,2026-11-01,"Ferrara Food Festival",culturale_musicale,alto,"Festival enogastronomico di punta"
2026-10-30,2026-11-01,"Horrorland Halloween Festival",congressuale_fieristico,medio,"Festival a tema (Fiere)"
2026-11-02,2026-11-05,"AEHT Annual Conference & Competitions",congressuale_fieristico,alto,"Delegazioni internazionali, pernottamenti garantiti"
2026-11-07,2026-11-08,"Noctis Domini - I Signori della Notte",culturale_musicale,medio,"Evento tematico"
2026-11-18,2026-11-19,"Work On Work",congressuale_fieristico,medio,"Fiera professionale"
2026-11-21,2027-01-06,"Mercato Regalo di Natale",culturale_musicale,alto,"Stagione natalizia, richiamo prolungato"
2026-11-21,2027-01-06,"Christmas Village",culturale_musicale,medio,"Mercatino di Natale"
2026-11-23,2027-01-10,"Il Paese di Babbo Natale",culturale_musicale,medio,"Attrazione natalizia famiglie"
2026-11-26,2026-11-29,"Musicfilm Festival",culturale_musicale,medio,"Festival musica/cinema"
2026-12-04,2026-12-06,"Ferrara Capitale del Karate (Coppa Shotokan / Coppa Europa MKIA)",sportivo,medio,"Campionati nazionali ed europei, atleti da fuori"
2026-12-31,2026-12-31,"Capodanno in Piazza",culturale_musicale,medio,"Evento di fine anno in centro"
